pool,venue,track_asset,from_ts,to_ts,days,sqrtk_per_lp_from,sqrtk_per_lp_to,growth_pct,fee_apr_pct,reserve_a_to,reserve_b_to,lp_supply_to,venue_verified,source
MIN2-ADA-MIN,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c82e2b1fd27a7712a1a9cf750dfbea1a5778611b20e06dd6a611df7a643f8cb75,1780263963,1785444169,59.956,1.028200118156753637,1.032941083775947884,0.461094,2.8402,3393517546042,190350379330626,24605170092565,True,deep
MIN2-ADA-MIN,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c82e2b1fd27a7712a1a9cf750dfbea1a5778611b20e06dd6a611df7a643f8cb75,1782851485,1785444169,30.008,1.030689847102803838,1.032941083775947884,0.218420,2.6894,3393517546042,190350379330626,24605170092565,True,deep
MIN2-ADA-MIN,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c82e2b1fd27a7712a1a9cf750dfbea1a5778611b20e06dd6a611df7a643f8cb75,1784235476,1785444169,13.99,1.031447807849288894,1.032941083775947884,0.144775,3.8467,3393517546042,190350379330626,24605170092565,True,deep
MIN2-ADA-MIN,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c82e2b1fd27a7712a1a9cf750dfbea1a5778611b20e06dd6a611df7a643f8cb75,1784840436,1785444169,6.988,1.032598047086907040,1.032941083775947884,0.033221,1.7501,3393517546042,190350379330626,24605170092565,True,deep
MIN2-ADA-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7dd6988c5a86693c76aeec1ea94afa41770be0de21a775ca7a2a1eabdb6a0171,1780264094,1785440002,59.906,1.245750173322105258,1.274615191345479130,2.317079,14.9774,2402942057783,412144993457,780760032421,True,deep
MIN2-ADA-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7dd6988c5a86693c76aeec1ea94afa41770be0de21a775ca7a2a1eabdb6a0171,1782848791,1785440002,29.991,1.262191357979859364,1.274615191345479130,0.984307,12.6604,2402942057783,412144993457,780760032421,True,deep
MIN2-ADA-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7dd6988c5a86693c76aeec1ea94afa41770be0de21a775ca7a2a1eabdb6a0171,1784237829,1785440002,13.914,1.266229492973700968,1.274615191345479130,0.662257,18.9049,2402942057783,412144993457,780760032421,True,deep
MIN2-ADA-USDM,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c7dd6988c5a86693c76aeec1ea94afa41770be0de21a775ca7a2a1eabdb6a0171,1784840436,1785440002,6.939,1.272752843195829693,1.274615191345479130,0.146324,7.9942,2402942057783,412144993457,780760032421,True,deep
MIN2-ADA-NIGHT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce74c52975908a612d5ce68327040d449aae99f8b463bb6de046a1b23c5713169,1780263979,1785448075,60.001,1.719554514792919106,1.829280053537186992,6.381044,45.6871,2131950814682,19554735692414,3529672138161,True,deep
MIN2-ADA-NIGHT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce74c52975908a612d5ce68327040d449aae99f8b463bb6de046a1b23c5713169,1782855677,1785448075,30.005,1.748279918147406691,1.829280053537186992,4.633133,73.4891,2131950814682,19554735692414,3529672138161,True,deep
MIN2-ADA-NIGHT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce74c52975908a612d5ce68327040d449aae99f8b463bb6de046a1b23c5713169,1784237803,1785448075,14.008,1.754341496736378755,1.829280053537186992,4.271606,197.4077,2131950814682,19554735692414,3529672138161,True,deep
MIN2-ADA-NIGHT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4ce74c52975908a612d5ce68327040d449aae99f8b463bb6de046a1b23c5713169,1784843139,1785448075,7.002,1.813417688925982979,1.829280053537186992,0.874722,57.4629,2131950814682,19554735692414,3529672138161,True,deep
MIN2-ADA-USDA,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cee5cfbc5b0dc10c873a0bcc69e49b9af21b899f59337a894874c6b596c2da136,1780263963,1785446643,59.985,1.078710657369347442,1.089850545037762754,1.032704,6.4512,1877775818305,320880970433,712240895603,True,deep
MIN2-ADA-USDA,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cee5cfbc5b0dc10c873a0bcc69e49b9af21b899f59337a894874c6b596c2da136,1782851602,1785446643,30.035,1.085863161828616837,1.089850545037762754,0.367209,4.5550,1877775818305,320880970433,712240895603,True,deep
MIN2-ADA-USDA,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cee5cfbc5b0dc10c873a0bcc69e49b9af21b899f59337a894874c6b596c2da136,1784238156,1785446643,13.987,1.087807436580922261,1.089850545037762754,0.187819,5.0185,1877775818305,320880970433,712240895603,True,deep
MIN2-ADA-USDA,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cee5cfbc5b0dc10c873a0bcc69e49b9af21b899f59337a894874c6b596c2da136,1784832147,1785446643,7.112,1.089395195073175759,1.089850545037762754,0.041798,2.1678,1877775818305,320880970433,712240895603,True,deep
MIN2-ADA-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c2ffadbb87144e875749122e0bbb9f535eeaa7f5660c6c4a91bcc4121e477f08d,1780258502,1785448075,60.065,1.374641847148998748,1.435507900460154417,4.427775,30.1192,1818593749070,1064942900,30656701215,True,deep
MIN2-ADA-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c2ffadbb87144e875749122e0bbb9f535eeaa7f5660c6c4a91bcc4121e477f08d,1782855651,1785448075,30.005,1.403129808735854692,1.435507900460154417,2.307562,31.9849,1818593749070,1064942900,30656701215,True,deep
MIN2-ADA-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c2ffadbb87144e875749122e0bbb9f535eeaa7f5660c6c4a91bcc4121e477f08d,1784235143,1785448075,14.039,1.412359547612827372,1.435507900460154417,1.638984,52.6043,1818593749070,1064942900,30656701215,True,deep
MIN2-ADA-SNEK,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4c2ffadbb87144e875749122e0bbb9f535eeaa7f5660c6c4a91bcc4121e477f08d,1784838049,1785448075,7.06,1.427780302860255799,1.435507900460154417,0.541232,32.1862,1818593749070,1064942900,30656701215,True,deep
MIN2-ADA-FLDT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cbc53f5c2a8cf3ef64081d2ec8c74333d567fc7ef271c1b97d21fdd53a2c5c889,1780250762,1785432375,59.972,1.036896706717887121,1.038221343328053593,0.127750,0.7800,1745514795239,7395901069557,3460727158047,True,deep
MIN2-ADA-FLDT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cbc53f5c2a8cf3ef64081d2ec8c74333d567fc7ef271c1b97d21fdd53a2c5c889,1782840528,1785432375,29.998,1.037729595390038232,1.038221343328053593,0.047387,0.5781,1745514795239,7395901069557,3460727158047,True,deep
MIN2-ADA-FLDT,minswap-v2,f5808c2c990d86da54bfc97d89cee6efa20cd8461616359478d96b4cbc53f5c2a8cf3ef64081d2ec8c74333d567fc7ef271c1b97d21fdd53a2c5c889,1784201862,1785432375,14.242,1.038090061830459173,1.038221343328053593,0.012646,0.3246,1745514795239,7395901069557,3460727158047,True,deep
